timestamp,camera_id,total_seats,occupied,item_only,empty,occupancy_rate_percent
2025-06-26 00:00:00,camera_0,13,2,6,5,15.38
2025-06-26 00:00:00,camera_1,6,4,0,2,66.67
2025-06-26 00:00:00,camera_2,10,9,0,1,90.0
2025-06-26 00:10:00,camera_0,13,9,2,2,69.23
2025-06-26 00:10:00,camera_1,6,1,3,2,16.67
2025-06-26 00:10:00,camera_2,10,7,0,3,70.0
2025-06-26 00:20:00,camera_0,13,2,3,8,15.38
2025-06-26 00:20:00,camera_1,6,0,1,5,0.0
2025-06-26 00:20:00,camera_2,10,0,3,7,0.0
2025-06-26 00:30:00,camera_0,13,3,2,8,23.08
2025-06-26 00:30:00,camera_1,6,6,0,0,100.0
2025-06-26 00:30:00,camera_2,10,2,2,6,20.0
2025-06-26 00:40:00,camera_0,13,10,1,2,76.92
2025-06-26 00:40:00,camera_1,6,4,2,0,66.67
2025-06-26 00:40:00,camera_2,10,4,3,3,40.0
2025-06-26 00:50:00,camera_0,13,0,8,5,0.0
2025-06-26 00:50:00,camera_1,6,5,1,0,83.33
2025-06-26 00:50:00,camera_2,10,2,4,4,20.0
2025-06-26 01:00:00,camera_0,13,11,2,0,84.62
2025-06-26 01:00:00,camera_1,6,0,1,5,0.0
2025-06-26 01:00:00,camera_2,10,10,0,0,100.0
2025-06-26 01:10:00,camera_0,13,7,5,1,53.85
2025-06-26 01:10:00,camera_1,6,1,3,2,16.67
2025-06-26 01:10:00,camera_2,10,6,4,0,60.0
2025-06-26 01:20:00,camera_0,13,5,6,2,38.46
2025-06-26 01:20:00,camera_1,6,3,1,2,50.0
2025-06-26 01:20:00,camera_2,10,10,0,0,100.0
2025-06-26 01:30:00,camera_0,13,9,0,4,69.23
2025-06-26 01:30:00,camera_1,6,2,3,1,33.33
2025-06-26 01:30:00,camera_2,10,4,6,0,40.0
2025-06-26 01:40:00,camera_0,13,8,4,1,61.54
2025-06-26 01:40:00,camera_1,6,5,1,0,83.33
2025-06-26 01:40:00,camera_2,10,4,5,1,40.0
2025-06-26 01:50:00,camera_0,13,2,3,8,15.38
2025-06-26 01:50:00,camera_1,6,4,2,0,66.67
2025-06-26 01:50:00,camera_2,10,4,2,4,40.0
2025-06-26 02:00:00,camera_0,13,10,0,3,76.92
2025-06-26 02:00:00,camera_1,6,5,0,1,83.33
2025-06-26 02:00:00,camera_2,10,6,2,2,60.0
2025-06-26 02:10:00,camera_0,13,9,0,4,69.23
2025-06-26 02:10:00,camera_1,6,0,2,4,0.0
2025-06-26 02:10:00,camera_2,10,5,3,2,50.0
2025-06-26 02:20:00,camera_0,13,8,2,3,61.54
2025-06-26 02:20:00,camera_1,6,5,1,0,83.33
2025-06-26 02:20:00,camera_2,10,3,2,5,30.0
2025-06-26 02:30:00,camera_0,13,3,10,0,23.08
